time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-18T19:30:22.730Z,-9.5056,112.8624,21.6,5.6,mww,,33,1.637,1,us,us2000jjm5,2019-02-19T22:25:46.040Z,"123km S of Krajan Tambakrejo, Indonesia",earthquake,6.9,3.5,0.073,18,reviewed,us,us
2019-02-18T17:49:50.950Z,2.2479,128.7852,35,4.6,mb,,124,2.039,0.9,us,us2000jjl3,2019-02-18T20:42:53.040Z,"103km NE of Tobelo, Indonesia",earthquake,8.4,2,0.081,45,reviewed,us,us
2019-02-18T17:10:10.038Z,59.7815,-153.4648,126.6,2.5,ml,,,,0.59,ak,ak01929bijeq,2019-02-18T23:46:12.783Z,"81km E of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-18T17:02:46.634Z,61.4116,-149.9472,39.7,4.4,ml,,,,0.58,ak,ak01929bgwg5,2019-02-19T22:35:14.040Z,"9km S of Big Lake, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-02-18T16:31:33.390Z,38.5832,44.1405,10,4.1,mb,,109,0.891,0.64,us,us2000jjk8,2019-02-18T17:33:15.040Z,"7km SSW of Saray, Turkey",earthquake,5.5,1.9,0.116,20,reviewed,us,us
2019-02-18T15:46:42.810Z,-19.1303,-172.8017,10,4.9,mb,,93,2.718,1.24,us,us2000jjjx,2019-02-18T16:38:48.040Z,"135km ESE of Neiafu, Tonga",earthquake,7.5,1.9,0.105,28,reviewed,us,us
2019-02-18T15:16:30.580Z,50.0403,154.6213,144.54,4.8,mb,,135,3.622,0.57,us,us2000jjjt,2019-02-18T15:51:00.040Z,"128km WSW of Severo-Kuril'sk, Russia",earthquake,9.5,7.2,0.031,310,reviewed,us,us
2019-02-18T15:01:35.620Z,-6.5651,129.7822,202.67,4.5,mb,,58,2.06,0.65,us,us2000jjjp,2019-02-18T15:39:37.040Z,"228km NW of Saumlaki, Indonesia",earthquake,9.1,7.3,0.093,34,reviewed,us,us
2019-02-18T13:30:57.119Z,59.2908,-152.4777,62.3,2.5,ml,,,,0.59,ak,ak01929996wb,2019-02-18T21:33:37.905Z,"65km SW of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-02-18T12:22:17.370Z,19.3378333,-155.2128333,6.47,2.47,ml,40,69,0.03585,0.1,hv,hv70816216,2019-02-20T08:54:30.040Z,"10km SSE of Volcano, Hawaii",earthquake,0.26,0.55,0.186,29,reviewed,hv,hv
2019-02-18T10:21:08.420Z,18.706,-66.806,93,2.83,md,17,235,0.3589,0.17,pr,pr2019049004,2019-02-20T07:45:44.040Z,"27km N of Hatillo, Puerto Rico",earthquake,1.17,0.72,0.28,16,reviewed,pr,pr
2019-02-18T10:02:12.990Z,17.8951,-67.707,22,2.69,md,5,303,0.5398,0.42,pr,pr2019049005,2019-02-18T12:16:22.890Z,"55km W of Pole Ojea, Puerto Rico",earthquake,2.87,26.34,0.18,3,reviewed,pr,pr
